ID,Application Address,Geocode Address,Map-Lot,Neighborhood,Year Permitted,Fiscal Year Permitted,Prior Use,Permitted Use,Housing Starts,Net Change in Units,Location
682,50 York St,50 York St,40-243,3,2017,FY18,vacant,16 units,16,16,"(42.36948565, -71.09197263)"
645,95 Fawcett St,87 Fawcett St,267F-284,12,2017,FY17,Warehouse,44 Units,44,44,"(42.39215089, -71.14629944)"
70,139-155 BROOKLINE St,155 Brookline St,94-158,5,1998,,Storage,20 Units,20,20,"(42.36012445, -71.10525407)"
630,44 Market St,44 Market St,76-4,4,2016,FY17,3 Units,4 Units,1,0,"(42.36812395, -71.09642161)"
366,122 Clifton St,122 Clifton St,269-118,11,2008,,Vacant,2 Units,2,2,"(42.39711386, -71.13651683)"
139,650 Concord Ave,650 Concord Ave,266-33,12,2000,,Neville Manor,Assisted Living Units,71,71,"(42.38950826, -71.14941119)"
761,362 Broadway,362 Broadway,108-70,6,2019,FY20,1 unit,vacant,0,-1,"(42.37047094, -71.10422531)"
102,165 Western Ave,165 Western Ave,123-78,7,1998,,2 Units,9 Unit Sro,9,7,"(42.36500316, -71.109371)"
480,9 Montague St,9 Montague St,126-131,7,2012,,Commerical,3 Units,3,3,"(42.3639205, -71.11324266)"
348,52 Loomis St,55 Loomis St,267C-92,12,2007,,Commercial/Vacant,7 Units,7,7,"(42.39378345, -71.15357214)"
334,130 Fayerweather St,130 Fayerweather St,263-72,10,2007,,2 Units,2 Units,2,0,"(42.38357694, -71.136462)"
629,482 HURON Ave,482 Huron Ave,247-120,10,2016,FY17,2 Units,1 Unit,1,-1,"(42.38018849, -71.14307696)"
250,323-325 Elm St East,323 Elm St,82-47,3,2005,,Commercial,8 Units,8,8,"(42.37406808, -71.09511843)"
519,20 DEWOLFE ST,20 Dewolfe St,132-152,7,2014,FY14,Dorm Activity Room,1 Unit,1,1,"(42.37003373, -71.11662318)"
469,199 Erie St,199 Erie St,103-14,5,2012,,Vacant/Was Convent,4 Units,4,4,"(42.36046481, -71.10799586)"
235,350 Third St,350 Third St,14-1038,1,2004,,Commercial,321 Units,321,321,"(42.36368403, -71.08335367)"
1,136 APPLETON St,136 Appleton St,231-28,10,1996,,4 Units,5 Units,5,1,"(42.38119413, -71.13397295)"
778,73 School St,73 School St,74-10,4,2019,FY20,1 unit,2 units,2,1,"(42.36398462, -71.09733218)"
556,18-32 Whittemore Ave,18 Whittemore Ave,188-148,11,2014,FY15,Greenhouses,6 Units,6,6,"(42.398407, -71.13517015)"
666,9 Decatur St,9 Decatur St,94-61,5,2017,FY18,commercial,2 units,2,2,"(42.36103037, -71.10493869)"
89,205-207 Norfolk St,205 Norfolk St,87-103,4,1998,,3 Units,4 Units,4,1,"(42.36918588, -71.09876075)"
482,38 Union St,38 Union St,79-65,3,2012,,Vacant,1 Unit,1,1,"(42.37025949, -71.09491402)"
353,189 Pearl St,189 Pearl St,103-112,5,2007,,Parsonage,2 Units,2,1,"(42.36021279, -71.10763543)"
409,38-40 Avon St,38 Avon St,212-47,9,2010,,1 Unit,2 Unit,2,1,"(42.38288079, -71.12306883)"
171,171-273 Harvey St,171 Harvey St,190-248,11,2001,,Vacant Lot,2 Units,2,2,"(42.3975436, -71.13532975)"
524,53 Jay St,53 Jay St,123-29,7,2014,FY14,2 Units,Vacant Lot,0,-2,"(42.36611563, -71.11035458)"
583,411 Broadway,411 Broadway,139-34,6,2015,FY16,3 Units,2 Units,1,-1,"(42.37253678, -71.10879209)"
763,50 Cambridgepark Dr,36 Cambridgepark Dr,265D-50,11,2019,FY20,commercial,294 units,294,294,"(42.39450362, -71.14381824)"
116,22 LEE St,22 Lee St,117-35,6,1999,,3 Units,1 Unit,1,-2,"(42.36862466, -71.10676004)"
683,56 Alpine St,56 Alpine St,260-54,10,2018,FY18,1 unit,2 units,2,1,"(42.38480913, -71.13746097)"
730,384 Broadway,384 Broadway,115-11,6,2019,FY19,2 units,1 unit,1,-1,"(42.37113065, -71.1059544)"
218,24-27 Bellis Circle,24 Bellis Circle,271-16,9,2004,,1 Unit,4 Units,4,3,"(42.3897771, -71.13388612)"
277,85 Thorndike St,85 Thorndike St,25-37,1,2005,,3 Units,1 Unit,1,-2,"(42.36998738, -71.08195163)"
309,8 Museum Way,8 Museum Way,1A-109,1,2006,,2 Units,1 Unit,1,-1,"(42.37005115, -71.07167835)"
742,14 Jackson St,14 Jackson St,193-15,11,2019,FY19,1 unit,2 units,2,1,"(42.39399964, -71.13528705)"
6,51-53 BRIStOL St,51 Bristol St,40-40,3,1996,,9 Units,11 Units,11,2,"(42.36834376, -71.09265017)"
450,120-122 Oxford St,120 Oxford St,151-54,8,2011,,5 Units,3 Units,2,-2,"(42.38406831, -71.11565992)"
