Name,Company,Comments
Lau Yu,placeme,"they didn't say before I booked and stayed for 30 days is this room was going to be into a 4 bedroom apartment, with no living room or common area, 1 bathroom and I am not planning as a traveler and professional to live this way because on one side they want to sell they rent comfort and convenience, but they don't deliver this as there are no linens, pillow or comforter, toilet paper or simple stuff to do life again =comfortable and convenient=
My room was hell hot and hell cold, couldn't they solve the issue of heat/AC? or fix the bathroom when it was leaking water before we all arrived? You could even feel the room and the whole apartment moving through any wind or big truck driving through the street. They use to say they would come into the apartment to clean but the bathroom was never clean even if they would place it in the tag on the fridge. I don't think Placeme shows control of what are they renting. They even sub-rented rooms when others had the room for the rest of the month. I OPENLY DO NOT recommend Place.me.
I am SURE the other reviews must be paid.  The roomates and friends used to talk about it because they had a deal from our company, we all hated to stay here!"
Piotr Kala,placeme,"1. PlaceMe crew along with Clara where walking into our apartment multiple times without previous notice. Even after we specifically said we do not like that - it was still happening.
2. PlaceMe advertised that they will provide paper towels / toilet paper etc. However, after few months it stopped. After I asked Clara about it - she let me know that it is not obligatory for them - the may do it but they don't have to
3. I feel like Clara's tone while speaking to the clients was hostile and disrespectful.
4. This deal is ok if you want to live with random people that change very 3 months. The age in our house was 20-50 which makes it little bit more difficult to get along with each other."
Melina L.K.,placeme,"Though it is convenient, the management of this companies at times has seriously ridiculous expectations. Be prepared to pay more during winter months for heating! As they basically expect you to be gone from the apartment all day with it not being heated (at all) as they are unreasonable in terms of what they accept as an electricity bill. Also: they suggested us to leave bedroom doors open, in order to save on the electric heating bill (they seem to not have a sense of privacy!). 
Unfortunately one cannot lock individual bedroom doors either. 
Furthermore, it happened to us that they forgot to pay the bill, hence our internet service stopped working!"
Grant Gary,bedly,"Company was great, I got a great apartment move in and everything was smooth. I am to move out of this unit and suppose to move to another location end of this month. But they must have gone out of business or something because no one has answered emails or calls in over a week. So now I have to find a different place to live. If they aren’t out of business someone should answer the phone or email back. As I am trying to sign a new lease."
"
Muhamad Naqshbandi",bedly,One of the least accommodating customer services I have ever experienced. After giving me a room that was infested with bed bugs they don’t even provide a temporary location for me to sleep in until they resolve the issue. So now I have to either spend money on a place to live with no refund or continue living with the bed bugs they’ve graciously given to keep me company
Casey Lunkley,bedly,"New management has ruined Bedly. I sent an email to inquire about an apartment and they didn't even bother to email me a response. 
If they can't even answer your questions when you're looking to give them money, I don't think it's going to be a good experience once they have you in a lease."
Ramon Johnson,bedly,"I've enjoyed using Bedly as a new resident in NY. They are a wonderful resource for young professionals who are seeking affordable housing. The living spaces are aesthetically pleasing  and the fully furnished living spaces are convenient for individuals who may want to save money. However, the support team could be a little more prompt when responding to questions or concerns of their customers."
Blake Shetter,bedly,"I've been a Bedly ""member"" for over a year now. The apartment I'm in is nice, roommates are great and the price is reasonable. But when you need to deal with Bedly support team or sales team you're lucky if you get a reply and you feel like you've won the lottery if they do something in a timely manner. 
For the last month I've been trying to contact them to sign a new lease. Adam stopped responding and Blaine never responded to begin with.
You may ask ""why are you signing a lease when you're unhappy?"" and that's a great question that I asked myself. The answer is simple. Price & flexibility. That's it. 
In the past it took months to get Bedly/the building owner to fix a leak in my room (they never fixed it, the city of NY actually did). 
In another case It took 5 days to send out a plumber for low water pressure. 
All in all, Bedly is a great idea but the management and staff are either overworked and unable to keep up or they just don't care. Renter beware."
Sabastian Piedmont,bedly,"I moved into a place off the Vernon Ave JMZ stop. Paid, moved in, etc. my first Saturday in the apartment the owner of the building began showing the apartment while I was in it. Yelled at me saying, “Who the f*** are you? Why are you here?” He called bedly and said everything was worked out. I also showed the apartment to other persons and was promised seamless gift cards I never received. Well, the weekend before winter storm Jonas I’m told by Bedly that I need to be out. I’m a student teacher at the time and in a tough bind. The CEO/owner offered me to stay in his apartment then move me into a more expensive place in Washington Heights. I ended up feeling uncomfortable doing that (which is pretty reasonable, especially after the shenanigans). So I ended up having to get a ride out of the city the Sunday AM of the storm. On my way back to WNY I’m told they were able to get a few extra days for me to stay from the landlord. I wasn’t refunded a full amount. Which I understand. But I never was given an explanation of how Bedly moved me into an apartment that they were obviously not finalized with. I may be wrong about what happened. Thankfully my student teaching placement was able to be switched after trips to both the admin and school that could possibly have me. The experience cost me over a thousand dollars, probably near two K in wasted money. The entire time I was in the dark. Just moved to the city. Called 311 because both the heat was out during the storm and me essentially being ordered to leave during the storm. I’ve never had an explanation and it cost me a large sum of money. It seems they are on top of things now. I just have wanted an explanation and they never removed me from their emails explaining of how great they are. It’s just worrisome. I’m sure it’s great now. But moving 21 year olds into an apartment not from the city when obviously they didn’t have permission is bizarre. They even took 360 degree photos while I was there and had every room listed. Etc. I was half naked getting in the shower when the landlord arrived. It was a very intense, scary, and unreasonable experience. Were my payments given to the owner of the apartment or kept by Bedly if they could never move anyone in? If it’s all good now the customer service aspects were great when all was well. When this went down the owner/CEO was in Boston and not answering my calls or texts. Disheartening experience."
Adriano Yoshino,bedly,"I'm loving Bedly, it is easy and simple to book and the houses are new and well equipped (good kitchen, laundromat...). No complaints about the house and my experience living there. 
The only thing I would improve is the customer service that sometimes take a while to get get back."
