Name,Star,Comments
Jamia Jordan,5,Loved this space! I had an amazing time living here and had such great roommates.
Michaela Marie,5,With my first time moving to NYC I am happy I found out about Bedly. They have been very helpful with any questions I have and reliable throughout out the whole process!
Jasmine Ferguson,5,I stayed with Bedly for 2 months and my overall experience was great. The room was just as described and pictured and they even allowed me to tour before I moved in. Customer service was quick to respond to any of my questions/concerns and communication almost effortless. I would definitely use their service again.
Sean,5,"Bedly's customer service is excellent. They responded immediately to my emails, explained everything clearly, and solved my problem quickly. Based on their kindness and professionalism I would recommend Bedly to anyone looking for housing in New York."
Christopher Nocera,5,"My experience with bedly has been great. Their website is very clear and organized and made the apartment search very painless. In addition, Jake was a great agent and really went out of his way to make the process as smooth as possible. Would highly recommend!"
Danny Ginzburg,5,"Bedly is a bit disorganized, but friendly enough. The apartment is pretty nice for the price. Two new bathrooms shared by 3 people is nice, as well as laundry in the building."
priti mayekar,5,"I loved my stay in this lovely peaceful home! I loved the comfy beds, the clean bathrooms, kitchen etc.  
Thanks so much for providing such a warm and wonderful place to stay while in Jersey city. Easy access and convenient to both central Avenue and JFK. What more could you ask for? It felt like a little home away from home. 
I cant wait to come back!"
Nicole Stephenson,5,Amazing situation. Community staff is attentive and accommodating. Easily a great situation for the short or long term. Apartments are amazing. Not like other places where your forced to be secluded to your room all day.
Malak Noor Saleh,5,"I would recommend bedly to my own family and friends. The stress of finding furniture is eliminated with Bedly, the support team is easily reachable and extremely responsive, and most importantly they list places with reasonable prices in New York especially. The bedly staff is super accommodating and professional."
Brian Kotowski,5,I used Bedly when I got promoted and moved to Boston for six months. It was a great experience. All my roommates were nice and everyone mostly kept to themselves. I would definitely recommend it to anyone looking for a short term housing situation!
Julie,5,"When deciding to move out for the first time, I never thought about renting a room in a house... but then I came across Bedly ! Reviews were great and once I contacted them, customer service was amazing and everyone that helped me at Bedly have been very friendly and accommodating. Moving out was so easy because furniture was already provided and kitchen appliances were already there. I have even recommended Bedly to some of my friends. So happy that I decided to rent with Bedly."
Jacob Acton,5,"Great service for renting easily in NYC. They have apartments throughout Brooklyn and in the Upper East Side and Harlem, probably the coolest part of this service is that you can switch between available rooms at any time. The rent is laid out so it is easy to understand and all utilities are included, usually including a biweekly maid service. Roommates are random, which can lead to some weirdos, but it's NYC so. Rooms also tend to be small and units tend to have a 3:1 bedroom to bathroom ratio. There are some really good rooms, but if you want to get them cheap you need to look pretty far in advance. Overall, this website makes living in NYC seem easy."
