Name,Star,Comments
Sorrena D.,5,"I just read all the reviews on Michelle and i wanted to say i agree with most! She's a hard working, very professional manager. She's very welcoming and goes the extra mile to help her tenants. 

We know she's juggling a lot of work right now but she makes sure our problems are addressed. 

Thanks Michelle, My roommates and I have just moved into the apartment and it is already starting to feeling like home.

We really look forward to living here and appreciate your help."
Jacky L.,5,"Great management team and good-quality service. Let me give more detail for the potential tenants. 
I have been living here for 4 years already and they change the management team for a while and the new manager Michelle and her team is doing excellent job. She cares about her tenants and know what they need and get he job done quickly. I have requested repairs-and-fix for several times. All of them are finished in 2 hours. The environment is safe and quiet. Five stars! Check it out guys!"
Jorge L C.,5,"I love the high level of professionalism Michelle, the leasing manager had displayed several times when I've gone with any questions or concerns. 
-Michelle truly is an ambassador of the Bungalow Apts Brand for her dedication and passion for this Co.  I really hope she is well noticed for doing so. She is super efficient and goes above and beyond to keep all tenants safe and happy. Always with a smile on and willing to help, she stays on top the facilities needs and displays great team work amongst her employees. 
I will continue to re new my lease with her and hope such talented and caring leader never leaves. I highly recommend these Apts to future tenants! "
Cynthia S.,5,"I can NOT begin to express my gratitude for Michelle.
From the moment I called in to get information on one of the units she has been so helpful so informative and attentive every step of the way, she made the whole process stress free and as easy as possible.

We just got our approval yesterday and are so excited to be making this our new home!

Thank you so much for all your help Michelle, you are truly amazing!"
Alma R.,5,"This is by far the friendliest community we've visited. It's a nice park like community with many amenities: pool, jacuzzi, gym, rec. room, playground, and lost of green space for my fur babies. 

The management team is also great! The property manager responded to my numerous late night emails, and questions very quickly. She has been great helping us get into our first home. We are super excited to move into our new home! 

Thank you, Bungalows leasing office team!"
Twailla M.,5,"I have a friend who's lived at this complex for over a year. Because she's so happy with her unit, The Bungalows was immediately one of the apartments we considered when it was time to move. The manager is very helpful, and she's gone above and beyond to help us with through the process and answer all of our questions. I'm impressed with how quickly she was able to pull everything together. The complex itself is well-maintained. In-unit laundry hookups ... Yes!!"
Maria C.,5,We read the reviews on this place and we took a chance which we don't regret at all. The manager Michelle Lopez was so helpful during the whole process. She made the application process so easy and needless to say we are in the process of getting approved to move in.  Thank you to Michelle for everything you have helped us with. The Castaneda's.
Madeline D.,5,"Michelle was absolutely AMAZING! She made the process of renting very easy and was extremely helpful every step of the way. The landscaping is very well maintained, the surrounding area was very clean and quiet. I am definitely looking forward to my move in date!"
Edith D.,5,"Michelle has made us feel welcome she was available to us at whatever time, any questions we had she answered explained everything , we even had a welcome basket at our new home I am very happy with everything.    "
Juan O.,5,"This is our first apartment and extremely comfortable with it being our first day , the accommodations are on going , maybe more to come we didn't know of half amenities they had , playground for the kids, gym for us and etc. We happy with the manager Michelle she has treated us with respect and is one of the nicest persons I've met."
Vy V.,5,"My family just moved in one week ago. Property manager is very nice to us. There are a lot of trees and I like the view. Besides, services are very good. I call the maintenance and they come to fix it right away. Neighbors are friendly. We enjoy living here."
