X CAFE LLC,MANUFACTURER OF FLAVOR AND FOOD INGREDIENTS
X CLOSET INC,E-COMMERCE & ONLINE BUSINESS
X CUBE COMMUNICATION INC.,SOFTWARE ENGINEERING
X FILES RECOVERY LLC,COMPUTER SERVICES - DATA RECOVERY SERVICES
"X FITNESS GROUP, LLC",HEALTH CLUB
X GOLF NEW ENGLAND LLC,ENTERTAINMENT
X & M AUTOMOTIVE LLC,GENERAL AUTOMOTIVE SERVICES INCLUDING BUT NOT LIMITED TO ALL TYPES OF GENER
"X ICE HOCKEY, LLC","THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO HOLD, OWN, IMPROVE, OP"
X INDUSTRIES INCORPORATED,WEB SITE DESIGN
X LAND LLC,INVESTING
"X MARKS THE SPOT, INC.",MARKETING & CONSULTING SERVICES
"CROSSOVER FITNESS, LLC",24 HOUR FITNESS FACILITY
"X PRIZE FOUNDATION, INC.",NON PROFIT
"X & M CLEANING SERVICES, INC.",COMMERCIAL AND RESIDENTIAL CLEANING
"X S BROKERS INSURANCE AGENCY, INC.",INSURANCE AGENCY SALES & SERVICES
XSPOT ARCHERY LLC,"ARCHERY PRO SHOP, BOW SET UP, LESSONS, RETAIL,SALE"
"X SQUARED CONSULTING GROUP, INC.",CONSULTING
X SQUARED CONSULTING INC.,PROFESSIONAL SERVICES CONSULTING
"X SUPPLY CO, LLC",SELLING APPAREL AND SHOES.
"X TECH KNOWLEDGE, INC.",SOFTWARE DEVELOPMENT
X Y C NEW ENGLAND LLC,REAL ESTATE RENTAL
X&Y FOOD INC.,RESTAURANT
X-1 BOSTON CAFE LLC,"TO OWN, OPERATE AND MANAGE RESTAURANTS AND TO CARRY ON ANY LAWFUL BUSNI"
"X-AUTOMATION ASSOCIATES, L.P.",SOFTWARE DEVELOPMENT
"X-BIOTIX THERAPEUTICS, INC.",BIOTECHNOLOGY COMPANY
"X-BODY, INC.",BIOTECHNOLOGY RESEARCH AND DEVELOPMENT
"X & Y STAR, INC.",OWN & OPERATE RESTAURANT
"X-CEL WELDING, INC.",WELDING
"X-CELL MACHINING TECHNOLOGY, INC.",MANUFACTURING ELECTRONIC COMPONENTS
"X-CHEM, INC.",DISCOVERY AND DEVEL. FOR PHARMACEUTICAL INDUSTRY.
"X - TREME SILKSCREEN & DESIGN, INC.",CUSTOM EMBROIDERY
X-COR THERAPEUTICS INC,RESEARCH AND DEVELOPMENT OF MEDICAL DEVICES
X-CUTAG THERAPEUTICS INC.,PRECISION MEDICINE RESEARCH
"X-FACTOR CAPITAL, LLC",BUSINESS DEVELOPMENT IN MEDICAL TECHNOLOGY FIELD
"X-FACTOR FILMS, LLC",DIGITAL DELIVERY AND CREATION OF HIGH-QUALITY ENTERTAINMENT AND VIDEO AIME
"X-FACTOR MEDICAL, LLC",CONSULTING SERVICES
X-HEIGHT STUDIO LLC,GRAPHIC DESIGN AND EDITORIAL
"X-L-CO., INC.",HOLDING COMPANY
"X AND S, LLC","THE GENERAL CHARACTER OF THE BUSINESS OF THE COMPANY TO ACQUIRE, SELL, DEVE"
"X-MIX ENTERTAINMENT, LLC",ENTERTAINMENT PROMOTION
"X-NTH, INC.",ENGINEERING
"X-PERT ROOFING, INC.",ROOFING AND SIDING CONTRACTOR
"X-PRESS 24,INC.",SHELL
"X-PRO CLEANING, INC.",CLEANING SERVICES
"X BANKERS, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN: INVESTMENT I
"X-RAY IMAGING SOLUTIONS, LLC",CONSULTING SERVICES FOR MEDICAL DIAGNOSTIC X-RAY
"X-RAY INDUSTRIES, INC.",NON DESTRUCTIVE EQUIPMENT AND SERVICE SALES
"X-RAY, INC. OF R.I.",SALES/SERVICE OF MEDICAL EQUIP/ACCESSORIES
"X-RAYME, INC.",PROVIDER OF RADIOLOGICAL TECHNOLOGIST
"X-RITE, INCORPORATED",SALES & MANUFACTURING - COLOR MANAGEMENT SOLUTIONS
"X-RX, INC.",BIOTECHNOLOGY
X C HOLDINGS INC.,PRIVATE TRUCKING CONTRACTOR
"X-SILIUM, LLC",UI/UX DESIGN AND CONSULTING
"X-TRAC, LLC",TRANSPORTATION AND WAREHOUSING
X-TRACT HYDRO EXCAVATION CORP.,SPECIALIZED EXCAVATION SERVICES
X. Z. WANG CORPORATION,PROPERTY MANAGEMENT
"X.COMMERCE, INC.",ONLINE SERVICES
"DATANGO, INC.",SOFTWARE SALE AND SUPPORT SERVICES
"X.L. GLOBAL SERVICES, INC.",PROVIDES SHARED SERVICES TO AFFILIATED COMPANIES
"X1 INDUSTRIES, LLC",REAL ESTATE
"X2 COMM, INC.",TELECOMMUNICATIONS
X2 DEVELOPMENT CORPORATION,SELLS EDUCATIONAL MATERIALS
"X2C BIOSCIENCES, INC.",LIFE SCIENCES AND BIOTECHNOLOGY
"X2IT CONSULTING, INC.",CONSULTING
X3 HOCKEY LLC,X3 HOCKEY LLC PROVIDES SKILLS TRAINING AND CAREER CONSULTING FOR THE SPORT
X4 LLC,THE BUSINESS OF THE COMPANY SHALL BE TO OWN AND MANAGE REAL ESTATE AND AN
X4 PHARMACEUTICALS SECURITIES CORPORATION,SEC CORP FOR PHARMACEUTICAL DEVELOPMENT
"ARSANIS, INC.",BIOTECHNOLOGY RESEARCH AND DEVELOPMENT
"X4 PHARMACEUTICALS, INC.",PHARMACEUTICAL DEVELOPMENT
MAGNA5 LLC,TELECOMMUNICATIONS
MAGNA5 RTC LLC,TELECOMMUNICATIONS SERVICES
"X9 GAMES, LLC",TO ENGAGE IN RETAIL SALE OF GAMING PRODUCTS AND SPONSORING GAME
"XA MELNEA, LLC","BUYING, SELLING AND INVESTING IN REAL ESTATE."
"XAAR AMERICAS, INC.",SALES OFFICE FOR INKJET PRINTHEADS
"XACT ACCOUNTING SERVICES, LLC","TO PROVIDE ACCOUNTING, BOOKKEEPING AND TAX SERVICES AND SOLUTIONS"
"XCELLENCE, INC.",XCELLENCE INC
"XACT PROPERTY MANAGEMENT, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN THE BUSINESS
"XACT RESEARCH, INC.","XACT RESEARCH, INC."
"XACT! RESOURCES, INC.",COLLECTION AGENCY
XACTLYIT LLC,MARKETING SERVICES FIRM. SPECIALIZE IN MARKETING SERVICES TO HIGH-TECH ORGAN
"XACTWARE SOLUTIONS, INC.",PROVIDE SOFTWARE PRODUCT SERVICES
"XADAMSX, INC.",PIZZA SHOP
"XALAAM ANALYTICS, LLC","CONSULTING - MANAGEMENT CONSULTING, SALES OF QUANTITATIVE MARKET FORECAS"
"XALAZONI, INC.",ROAST BEEF/FAST FOOD ESTABLISHMENT
"XALERON PHARMACEUTICALS, INC.",PHARMACEUTICAL PRODUCT DEVELOPER AND MARKETER
"XAM ONLINE, INC.",PUBLISHER
XAMARIN INC.,SOFTWARE DEVELOPMENT
"XAN MERCHANDISERS, INC.",ROUTE SALES (BREAD)
"XANADU BIG DATA, LLC",DEVELOPMENT AND MONETIZATION OF XANADU BIG DATA TECHNOLOGY
XANADU DEVELOPMENT LLC,ANY LAWFUL BUSINESS FOR WHICH A LIMITED LIABILITY COMPANY MAY BE ORGANIZED
XANADU HOME HEALTH LLC,HOME HEALTH SERVICES
XANALOG CORPORATION,COMPUTER MANUFACTURER
"XANATECH, INC.",SOFTWARE CONSULTING
"AT&T DIGITAL LIFE, INC.",TECHNOLOGY PLATFORM PROVIDER
"XANCHARLIZE VENTURES, LLC",TO MAKE INVESTMENTS IN PRIVATE EQUITY FUNDS AND START-UPS; AND TO ENGAGE IN
XANDER EVENT SERVICES LLC,PRODUCTION AUDIO AND LIGHTING
XANDER GAMING INC.,DESIGNING AND SELLING BOARD GAMES
"XANDER PROPERTIES, LLC","BOARDING, TRAINING AND CARING FOR HORSES."
XANDEVA LLC,"STRATEGIC SERVICES INCLUDING CONTRACT NEGOTIATION, STRATEGIC PLANNING AND"
"XANDEVA, INC.",SOFTWARE PLATFORM AND MARKETPLACE
"XANDO ENTERPRISES, LLC",REAL ESTATE
XANDO'S CONSTRUCTION L.L.C.,RESIDENTIAL CONSTRUCTION AND REMODELING.
"XANEDU PUBLISHING, INC.",COLLEGE COURSEPACKS; CUSTOM BOOKS
"XANITOS, INC.",PROFESSIONAL CLEANING SERVICES FOR HOSPITALS
"INSIDESALES.COM, INC.",SALE OF SALES ACCELERATION TECHNOLOGY
XANTE CORPORATION,SALE OF PERIPHERAL EQUIPMENT & CONSUMABLES
"XANTHI, LLC","RETAIL SALE OF COFFEE AND DONUTS AND OTHER BAKERY PRODUCTS, AND ANY OTHER"
"XANYN, LLC",E-COMMERCE RETAIL
"IERION, INC.",SOFTWARE DEVELOPMENT
XASSURANCE LLC,THIS BUSINESS PROVIDES PROFESSIONAL SERVICES AS WELL AS DEVELOPS SOFTWARE A
XRS CORPORATION,FLEET MANAGEMENT SOFTWARE FOR TRUCKING INDUSTRY
XATHRAS GROUP LLC,INTELLECTUAL PROPERTY DEVELOPMENT AND LICENSING SPECIALIZING IN EXTENDED R
XAVIENT DIGITAL LLC,IT SOLUTIONS AND SOFTWARE SERVICES
"XAVIER AND STELLI, LLC","TO ACQUIRE, IMPROVE, MANAGE, MAINTAIN AND SELL REAL ESTATE."
XAVIER CLEANING SERVICES INC,XAVIER CLEANING
XAVIER CONSTRUCTION MANAGEMENT INCORPORATED,CONSTRUCTION MANAGEMENT
XAVIER FITNESS INC,FITNESS
XAVIER KICKBOXING LLC,KICK BOXING EXERCISE AND RELATED EXERCISE
"XAVIER MANAGEMENT, LLC",THE LLC IS ORGANIZED TO RENDER BUSINESS MANAGEMENT SERVICES AND FOR ANY OT
"XAVIER MARKET, INC.",GROCERY STORE
"XAVIER MILLENNIUM PRODUCTIONS, INC.",MUSIC/SCREENPLAY CREATION AND PRODUCTION
"XAVIER RENTALS, LLC","RENTAL - RENTING, LEASING OR SELLING REAL ESTATE - I RENT RESIDENTIAL REAL ESTAT"
XAVIER SUPERIOR CLEANING SERVICES INC,JANITORIAL SERVICES
XAVIER'S EMPLOYMENT AGENCY INCORPORATED,TEMP AGENCY
"XAVIER'S PLACE, INC.",NIGHT CLUB
"XAVIER, LLC",THE COMPANY MAY ENGAGE IN ANY LAWFUL BUSINESS PERMITTED BY THE MASSACHUS
XAVIKON LLC,THE PURPOSE OF THE COMPANY IS TO HOLD INVESTMENTS AND INVESTMENT PROPERTIE
"XAVINCI, LLC",TO ENGAGE IN THE BUSINESS OF: (I) PROVIDING SERVICES RELATED TO BRAND DEVELOP
XAVO USA INC,TO ENGAGE IN LAWFUL ACTIVITY FOR WHICH CORPORATION
XAVUS SOLUTIONS LLC,MYSENIORCENTER HELPS SENIOR CENTERS AND OTHER AGING PROVIDERS INCREASE FU
"XAXIS, INC.",MARKETING AND CONSULTING SERVICES
XB INC.,INFORMATION TECHNOLOGY
"XBAND ENTERPRISES, INC.",CLOUD TECHNOLOGY AND ASSOCIATED SERVICES
XBIRT LLC,PROVIDING PROFESSIONAL CONSULTING SERVICES IN INFORMATION TECHNOLOGY AND
XBK LLC,INVESTMENT MANAGEMENT
XBP MARKETING CORP.,MARKETING SUPPORT
"ATOS IT OUTSOURCING SERVICES, LLC",COMPUTER SERVICES
"ATOS HEALTHCARE SERVICES, LLC",COMPUTER SERVICES
XBS STONE INC,IMPORT AND DISTRIBUTION OF STONE
"XCALIBER INTERNATIONAL, LTD., L.L.C.",XCALIBER INTERNATIONAL MANUFACTURES CIGARETTES AND OTHER TOBACCO PRODUC
"XCAPE, INC.",RESTAURANT/BAR/NIGHTCLUB
XTECH360 INC.,PROFESSIONAL IT SERVICES
XCEEDANCE INC.,INSURANCE SERVICES
"XCEEDIUM, INC.",SELLER OF IT PRODUCTS AND SERVICES
XCEL ADMIN AMERICA INC.,EMPLOYEE LEASING SERVICES
XCEL ADMIN CORP.,PROFESSIONAL EMPLOYER ORGANIZATION (PEO)
EXCEL AUTO BODY LLC,AUTO BODY REPAIR
"XCEL SOFTWARE, INC.",SOFTWARE DEVELOPMENT
XCEL CONSTRUCTION LLC,GENERAL CONTRACTOR
"XCEL ERECTORS, INC.",PROVIDING CONSTRUCTION SERVICES
"XCEL FIRE PROTECTION, INC.","XCEL FIRE PROTECTION, INC."
"XCEL HUMAN RESOURCES, INC.",BUSINESS SERVICES
XCEL INSURANCE CORP.,PROFESSIONAL EMPLOYER ORGANIZATION (PEO)
"XCEL INSURANCE II, CORP.",INSURANCE PRODUCER AGENCY
"XCEL MANAGEMENT, INC.",PROFESSIONAL EMPLOYER ORGANIZATION (PEO)
"XEEL SERVICES, INC.",ELECTRICAL CONTRACTING
XCEL STAFFING SERVICES CORPORATION,STAFFING
"XCEL STAFFING, INC.",STAFFING AGENCY
XCELERATE PERFORMANCE LLC,XCELERATE PEFORMANCE OFFERS BUSINESS AND SALES CONSULTING.
"XCELERATED INVESTMENTS, INC.",ALL LAWFUL BUSINESS
"XCELSIOR LOGISTICS, INC.",TRANSPORTATION OF GOODS
"XCENTRIS, INC.",COMPUTER SOFTWARE & MAINTENANCE
"XCEPTANCE SOFTWARE TECHNOLOGIES, INC.",SOFTWARE TESTING
